id,product_id,current_stock,reserved_stock,updated_at
148,148,280,0,2025-09-09 12:26:16.398
3,3,50,0,2025-08-20 11:20:21.78
4,4,103,0,2025-08-20 11:23:11.188
5,5,74,0,2025-08-20 11:37:59.465
6,6,36,0,2025-08-21 06:06:56.402
7,7,0,0,2025-08-21 06:35:57.766
8,8,25,0,2025-08-21 06:46:19.307
9,9,195,0,2025-08-21 07:21:45.416
10,10,25,0,2025-08-21 10:25:54.981
13,13,133,0,2025-08-21 10:34:23.46
130,130,92,0,2025-09-03 11:44:09.236
14,14,22,0,2025-08-21 10:37:17.116
15,15,55,0,2025-08-21 10:38:39.587
16,16,16,0,2025-08-21 10:40:33.781
18,18,283,0,2025-08-21 11:16:21.598
19,19,21,0,2025-08-21 11:19:22.145
20,20,14,0,2025-08-21 11:22:14.704
21,21,15,0,2025-08-21 11:25:53.629
23,23,276,0,2025-08-21 11:34:31.026
24,24,36,0,2025-08-21 11:46:22.035
25,25,31,0,2025-08-21 11:48:02.387
26,26,34,0,2025-08-21 11:57:05.669
27,27,34,0,2025-08-21 12:01:15.022
28,28,50,0,2025-08-21 12:04:01.446
29,29,90,0,2025-08-21 12:06:31.998
30,30,156,0,2025-08-21 12:24:29.07
32,32,25,0,2025-08-21 12:27:45.876
34,34,16,0,2025-08-21 12:31:42.21
35,35,22,0,2025-08-21 12:33:33.759
36,36,20,0,2025-08-21 12:35:04.581
37,37,26,0,2025-08-21 12:36:23.073
38,38,7,0,2025-08-21 12:37:33.759
39,39,6,0,2025-08-21 12:38:51.755
90,90,56,50,2025-09-09 13:48:20.615
40,40,24,0,2025-08-22 06:21:37.648
41,41,11,0,2025-08-22 06:22:59.421
42,42,20,0,2025-08-22 06:24:24.696
47,47,69,0,2025-08-22 06:38:14.467
48,48,178,0,2025-08-22 06:39:48.024
49,49,36,0,2025-08-22 06:41:02.492
50,50,41,0,2025-08-22 07:09:29.299
51,51,34,0,2025-08-22 07:11:03.345
55,55,24,0,2025-08-22 07:17:31.877
60,60,29,0,2025-08-22 07:44:24.653
61,61,16,0,2025-08-22 07:46:20.886
63,63,31,0,2025-08-22 07:55:51.155
65,65,76,0,2025-08-22 07:58:11.622
66,66,9,0,2025-08-22 07:59:09.461
68,68,82,0,2025-08-22 08:44:40.143
69,69,32,0,2025-08-22 08:46:05.329
72,72,60,0,2025-08-22 08:52:00.643
78,78,2276,0,2025-08-22 11:21:38.322
80,80,120,0,2025-08-22 11:27:36.104
81,81,1025,0,2025-08-22 11:30:22.96
82,82,201,0,2025-08-22 12:00:29.798
83,83,28,0,2025-08-22 12:02:47.18
85,85,19,0,2025-08-22 12:05:32.922
86,86,980,0,2025-08-22 12:06:41.204
87,87,31,0,2025-08-22 12:08:13.662
89,89,4,0,2025-08-22 12:11:25.393
92,92,27,0,2025-08-22 12:16:09.633
94,94,13,0,2025-08-22 12:19:28.935
95,95,34,0,2025-08-22 12:22:02.562
96,96,203,0,2025-08-22 12:30:02.586
97,97,100,0,2025-08-22 12:35:03.59
98,98,327,0,2025-08-22 12:56:21.226
99,99,200,0,2025-08-22 13:02:28.978
100,100,92,0,2025-08-25 06:12:30.283
101,101,36,0,2025-08-25 06:39:58.341
102,102,208,0,2025-08-25 06:42:22.891
103,103,345,0,2025-08-25 06:45:47.58
104,104,64,0,2025-08-25 06:47:57.485
105,105,50,0,2025-08-25 06:50:11.17
106,106,50,0,2025-08-25 06:51:29.978
107,107,187,0,2025-08-25 06:53:14.183
108,108,50,0,2025-08-25 06:55:25.831
109,109,40,0,2025-08-25 07:04:15.57
110,110,140,0,2025-08-25 07:08:26.072
111,111,178,0,2025-08-25 07:14:15.636
112,112,456,0,2025-08-25 07:17:07.905
113,113,51,0,2025-08-25 07:19:01.821
115,115,77,0,2025-08-25 07:22:14.398
114,114,310,0,2025-08-25 07:30:49.217
127,127,160,0,2025-09-10 12:20:04.785
46,46,71,0,2025-08-27 13:00:57.799
144,144,23,0,2025-09-08 12:40:54.635
71,71,132,0,2025-09-08 12:22:42.241
116,116,0,0,2025-09-01 09:14:59.458
120,120,1100,0,2025-09-02 07:31:07.88
121,121,704,0,2025-09-02 07:37:06.773
123,123,51,0,2025-09-02 07:42:30.054
124,124,168,0,2025-09-02 07:46:33.887
126,126,77,0,2025-09-03 11:28:18.287
129,129,100,0,2025-09-03 11:36:06.863
131,131,100,0,2025-09-03 11:40:48.988
133,133,50,0,2025-09-03 11:49:47.416
134,134,137,0,2025-09-03 11:52:43.718
135,135,92,0,2025-09-03 11:55:56.272
137,137,34,0,2025-09-03 12:01:14.459
138,138,200,0,2025-09-03 12:02:54.403
139,139,79,0,2025-09-03 12:05:40.709
140,140,140,0,2025-09-03 12:07:37.418
141,141,456,0,2025-09-03 12:10:37.597
142,142,51,0,2025-09-03 12:12:12.978
119,119,1919,0,2025-09-09 12:16:04.627
125,125,120,0,2025-09-04 07:23:38.431
31,31,212,0,2025-09-11 12:59:24.826
76,76,10697,0,2025-09-11 07:02:28.551
122,122,1661,0,2025-09-11 07:03:17.754
117,117,720,0,2025-09-11 07:03:55.955
84,84,695,0,2025-09-08 18:12:38.151
75,75,1887,0,2025-09-11 07:01:37.891
118,118,1436,0,2025-09-09 10:55:55.185
143,143,343,0,2025-09-04 08:05:53.048
57,57,65,0,2025-09-09 11:41:14.521
146,146,139,0,2025-09-04 08:35:18.684
147,147,92,0,2025-09-04 08:41:08.996
88,88,142,0,2025-09-08 17:00:23.297
91,91,45,0,2025-09-05 09:50:13.647
149,149,2037,0,2025-09-04 09:25:54.885
150,150,260,0,2025-09-04 09:29:15.619
151,151,122,0,2025-09-04 09:30:53.175
152,152,372,0,2025-09-04 09:34:05.248
153,153,200,0,2025-09-04 09:35:27.472
154,154,47,0,2025-09-04 09:37:10.237
155,155,1307,0,2025-09-04 09:38:10.846
64,64,322,0,2025-09-10 12:40:33.771
93,93,77,0,2025-09-05 10:04:30.014
53,53,412,0,2025-09-08 17:02:26.072
74,74,1911,0,2025-09-11 06:59:44.277
58,58,0,0,2025-09-09 11:49:15.168
79,79,2594,0,2025-09-11 12:52:26.304
45,45,170,0,2025-09-08 12:43:00.052
52,52,124,0,2025-09-08 12:44:13.417
56,56,0,0,2025-09-08 12:48:15.352
43,43,336,0,2025-09-11 10:45:36.052
44,44,121,0,2025-09-11 13:01:51.618
73,73,1588,0,2025-09-11 12:56:25.75
12,12,715,0,2025-09-11 12:50:06.455
2,2,438,0,2025-09-09 12:12:12.348
145,145,53,0,2025-09-11 12:42:03.147
67,67,358,0,2025-09-11 07:29:02.658
62,62,4,0,2025-09-09 10:57:05.082
54,54,15,0,2025-09-09 11:17:10.312
59,59,13,0,2025-09-09 11:40:02.541
1,1,1380,0,2025-09-09 12:17:04.563
33,33,43,0,2025-09-09 13:09:53.651
77,77,2655,0,2025-09-09 13:21:21.533
132,132,105,0,2025-09-09 13:32:11.142
22,22,0,0,2025-09-09 13:34:52.756
128,128,236,0,2025-09-10 10:25:32.117
156,156,40,0,2025-09-04 09:38:57.93
157,157,50,0,2025-09-04 09:39:52.109
158,158,1483,0,2025-09-04 09:43:49.593
159,159,2,0,2025-09-04 11:31:43.15
160,160,1,0,2025-09-04 11:34:34.442
161,161,1,0,2025-09-04 11:36:37.623
11,11,512,0,2025-09-05 06:14:06.005
163,163,1231,0,2025-09-05 12:25:21.706
165,165,0,0,2025-09-08 12:31:59.846
166,166,0,0,2025-09-08 17:05:38.185
70,70,345,0,2025-09-08 17:39:01.28
170,170,252,0,2025-09-09 11:38:31.686
185,185,0,0,2025-09-09 12:03:11.135
172,172,31,0,2025-09-09 12:06:36.538
171,171,0,0,2025-09-09 12:09:41.996
183,183,0,0,2025-09-09 12:24:26.689
169,169,0,0,2025-09-09 12:27:24.914
176,176,1,0,2025-09-09 12:29:42.264
174,174,2,0,2025-09-09 12:31:18.723
175,175,3,0,2025-09-09 12:32:38.386
177,177,97,0,2025-09-09 12:34:13.236
178,178,107,0,2025-09-09 12:38:16.457
173,173,125,0,2025-09-09 13:23:04.554
181,181,0,0,2025-09-09 13:39:00.753
182,182,0,0,2025-09-09 13:40:10.967
180,180,0,0,2025-09-09 13:42:15.294
186,186,137,0,2025-09-09 13:57:18.888
168,168,290,0,2025-09-09 13:57:49.152
17,17,1150,0,2025-09-11 06:54:36.213
164,164,212,0,2025-09-11 06:56:57.703
162,162,240,0,2025-09-11 07:11:07.408
184,184,994,0,2025-09-11 12:43:25.598
167,167,1274,0,2025-09-11 12:51:18.407
187,187,24,0,2025-09-11 12:55:06.129
188,188,0,0,2025-09-11 12:58:13.825
179,179,28,0,2025-09-11 12:59:58.735
189,189,161,0,2025-09-11 13:05:09.672
190,190,130,0,2025-09-11 13:07:06.808
191,191,14,0,2025-09-11 13:19:56.197
192,192,1,0,2025-09-11 13:34:18.976
193,193,1,0,2025-09-11 13:40:50.165
194,194,4,0,2025-09-11 16:46:20.218
195,195,13,0,2025-09-11 16:57:30.816
196,196,2,0,2025-09-11 17:02:19.798
197,197,1,0,2025-09-11 17:06:22.135
198,198,1,0,2025-09-11 17:11:13.231
199,199,1,0,2025-09-11 17:23:56.489
200,200,1,0,2025-09-11 17:28:14.068
201,201,2,0,2025-09-11 17:34:56.103
202,202,2,0,2025-09-11 17:40:07.555
203,203,2,0,2025-09-11 17:43:29.449
204,204,2,0,2025-09-11 17:59:11.213
205,205,2,0,2025-09-11 18:05:37.994
206,206,1,0,2025-09-11 18:09:10.365
207,207,1,0,2025-09-11 18:12:56.233
208,208,3,0,2025-09-11 18:16:53.748
209,209,1,0,2025-09-11 18:19:55.547
210,210,7,0,2025-09-11 18:24:22.695
211,211,1,0,2025-09-11 18:31:12.843
212,212,1,0,2025-09-11 18:34:28.867
213,213,2,0,2025-09-11 18:37:10.616
214,214,3,0,2025-09-11 18:39:35.162
215,215,1,0,2025-09-11 18:42:30.5
216,216,1,0,2025-09-11 18:48:31.759
217,217,1,0,2025-09-11 18:56:05.263
218,218,2,0,2025-09-11 18:59:45.864
219,219,1,0,2025-09-11 19:03:50.409
136,136,281,281,2025-09-12 07:40:35.366
