        typname         |      enumlabel      
------------------------+---------------------
 audit_operation        | DELETE
 audit_operation        | INSERT
 audit_operation        | UPDATE
 border_type            | with_border
 border_type            | without_border
 bottom_type_code       | spike_0
 bottom_type_code       | spike_11
 bottom_type_code       | spike_2
 bottom_type_code       | spike_5
 bottom_type_code       | spike_7
 carpet_edge_strength   | normal
 carpet_edge_strength   | reinforced
 carpet_edge_strength   | strong
 carpet_edge_strength   | weak
 carpet_edge_type       | cast_puzzle
 carpet_edge_type       | direct_cut
 carpet_edge_type       | litoy_puzzle
 carpet_edge_type       | podpuzzle
 carpet_edge_type       | puzzle
 carpet_edge_type       | straight_cut
 carpet_edge_type       | sub_puzzle
 cutting_status         | approved
 cutting_status         | cancelled
 cutting_status         | completed
 cutting_status         | in_progress
 cutting_status         | paused
 cutting_status         | planned
 defect_status          | for_repair
 defect_status          | for_rework
 defect_status          | identified
 defect_status          | under_review
 defect_status          | written_off
 movement_type          | adjustment
 movement_type          | cutting_in
 movement_type          | cutting_out
 movement_type          | incoming
 movement_type          | outgoing
 movement_type          | release_reservation
 movement_type          | reservation
 notification_status    | failed
 notification_status    | pending
 notification_status    | sent
 order_source           | avito
 order_source           | cold_call
 order_source           | database
 order_source           | other
 order_source           | referral
 order_source           | website
 order_status           | cancelled
 order_status           | completed
 order_status           | confirmed
 order_status           | in_production
 order_status           | new
 order_status           | ready
 press_type             | chinese
 press_type             | not_selected
 press_type             | ukrainian
 priority_level         | high
 priority_level         | low
 priority_level         | normal
 priority_level         | urgent
 product_grade          | grade_2
 product_grade          | liber
 product_grade          | telyatnik
 product_grade          | usual
 product_type           | carpet
 product_type           | other
 product_type           | pur
 product_type           | roll_covering
 production_status      | cancelled
 production_status      | completed
 production_status      | in_progress
 production_status      | queued
 production_task_status | cancelled
 production_task_status | completed
 production_task_status | in_progress
 production_task_status | paused
 production_task_status | pending
 shipment_status        | cancelled
 shipment_status        | completed
 shipment_status        | paused
 shipment_status        | pending
 user_role              | director
 user_role              | manager
 user_role              | production
 user_role              | warehouse
(86 rows)

