                                           List of relations
 Schema |                      Name                      | Type  |  Owner   |           Table           
--------+------------------------------------------------+-------+----------+---------------------------
 public | audit_log_pkey                                 | index | postgres | audit_log
 public | bottom_types_code_key                          | index | postgres | bottom_types
 public | bottom_types_pkey                              | index | postgres | bottom_types
 public | carpet_edge_types_code_key                     | index | postgres | carpet_edge_types
 public | carpet_edge_types_name_key                     | index | postgres | carpet_edge_types
 public | carpet_edge_types_pkey                         | index | postgres | carpet_edge_types
 public | categories_pkey                                | index | postgres | categories
 public | cutting_operations_pkey                        | index | postgres | cutting_operations
 public | defect_products_pkey                           | index | postgres | defect_products
 public | idx_production_tasks_cancelled                 | index | postgres | production_tasks
 public | idx_production_tasks_planned_date              | index | postgres | production_tasks
 public | idx_production_tasks_planned_date_status       | index | postgres | production_tasks
 public | idx_products_border_type                       | index | postgres | products
 public | idx_products_bottom_type_id                    | index | postgres | products
 public | idx_products_carpet_edge_sides                 | index | postgres | products
 public | idx_products_carpet_edge_strength              | index | postgres | products
 public | idx_products_carpet_edge_type                  | index | postgres | products
 public | idx_products_mat_area                          | index | postgres | products
 public | idx_products_press_type                        | index | postgres | products
 public | idx_products_product_type                      | index | postgres | products
 public | idx_products_pur_number                        | index | postgres | products
 public | idx_products_puzzle_options                    | index | postgres | products
 public | idx_products_puzzle_type_id                    | index | postgres | products
 public | idx_products_surface_ids                       | index | postgres | products
 public | idx_products_weight                            | index | postgres | products
 public | idx_puzzle_types_code                          | index | postgres | puzzle_types
 public | idx_puzzle_types_system                        | index | postgres | puzzle_types
 public | idx_roll_covering_composition_carpet_id        | index | postgres | roll_covering_composition
 public | idx_roll_covering_composition_roll_covering_id | index | postgres | roll_covering_composition
 public | idx_shipment_orders_composite                  | index | postgres | shipment_orders
 public | idx_shipment_orders_order_id                   | index | postgres | shipment_orders
 public | idx_shipment_orders_shipment_id                | index | postgres | shipment_orders
 public | operation_reversals_pkey                       | index | postgres | operation_reversals
 public | order_items_pkey                               | index | postgres | order_items
 public | order_messages_pkey                            | index | postgres | order_messages
 public | orders_order_number_unique                     | index | postgres | orders
 public | orders_pkey                                    | index | postgres | orders
 public | permissions_name_unique                        | index | postgres | permissions
 public | permissions_pkey                               | index | postgres | permissions
 public | product_logos_name_unique                      | index | postgres | product_logos
 public | product_logos_pkey                             | index | postgres | product_logos
 public | product_materials_name_unique                  | index | postgres | product_materials
 public | product_materials_pkey                         | index | postgres | product_materials
 public | product_relations_pkey                         | index | postgres | product_relations
 public | product_surfaces_name_unique                   | index | postgres | product_surfaces
 public | product_surfaces_pkey                          | index | postgres | product_surfaces
 public | production_queue_pkey                          | index | postgres | production_queue
 public | production_task_extras_pkey                    | index | postgres | production_task_extras
 public | production_tasks_pkey                          | index | postgres | production_tasks
 public | products_article_unique                        | index | postgres | products
 public | products_pkey                                  | index | postgres | products
 public | puzzle_types_code_key                          | index | postgres | puzzle_types
 public | puzzle_types_name_key                          | index | postgres | puzzle_types
 public | puzzle_types_pkey                              | index | postgres | puzzle_types
 public | role_permissions_pkey                          | index | postgres | role_permissions
 public | roll_covering_composition_pkey                 | index | postgres | roll_covering_composition
 public | shipment_items_pkey                            | index | postgres | shipment_items
 public | shipment_orders_pkey                           | index | postgres | shipment_orders
 public | shipment_orders_shipment_id_order_id_key       | index | postgres | shipment_orders
 public | shipments_pkey                                 | index | postgres | shipments
 public | shipments_shipment_number_unique               | index | postgres | shipments
 public | stock_movements_pkey                           | index | postgres | stock_movements
 public | stock_pkey                                     | index | postgres | stock
 public | stock_product_id_unique                        | index | postgres | stock
 public | telegram_notifications_pkey                    | index | postgres | telegram_notifications
 public | unique_roll_covering_sort_order                | index | postgres | roll_covering_composition
 public | user_permissions_pkey                          | index | postgres | user_permissions
 public | users_pkey                                     | index | postgres | users
 public | users_telegram_id_unique                       | index | postgres | users
 public | users_username_unique                          | index | postgres | users
(70 rows)

