id,name,article,category_id,manager_id,surface_id,logo_id,material_id,dimensions,characteristics,tags,price,cost_price,norm_stock,notes,photos,is_active,created_at,updated_at,weight,puzzle_options,mat_area,border_type,carpet_edge_sides,carpet_edge_strength,bottom_type_id,puzzle_type_id,puzzle_sides,grade,carpet_edge_type,product_type,pur_number,surface_ids,press_type
63,мат,МАТ-2050x1200x21-ЧЕШУЙ-GEA-ШИП0-Подпазл-1СОРТ,2,,11,4,,"{""width"": 1200, ""length"": 2050, ""thickness"": 21}",,,,,0,,,t,2025-08-22 07:55:51.151004,2025-08-27 12:48:17.461,,,2.4926,,1,normal,1,,1,usual,podpuzzle,carpet,,{11},not_selected
7,Тест grade_2,,2,,,,,"{""width"": 100, ""length"": 100, ""thickness"": 10}",,,,,0,,,f,2025-08-21 06:35:57.762535,2025-08-21 06:37:34.863,,,,,1,normal,3,,,grade_2,straight_cut,carpet,,,not_selected
8,мат,МАТ-1890x1160x24-ЧЕШУЙ-ШИП5-4ст стар п-2СОРТ,2,,7,,,"{""width"": 1160, ""length"": 1890, ""thickness"": 24}",,,,,0,,,t,2025-08-21 06:46:19.303814,2025-08-21 07:17:10.95,,,2.1924,,4,normal,3,1,4,usual,straight_cut,carpet,,{7},not_selected
18,мат,МАТ-2000x1190x24-ЧЕШУЙ-ШИП5-усил-4ст ст п-1СОРТ,2,,7,,,"{""width"": 1190, ""length"": 2000, ""thickness"": 24}",,,,,0,,,t,2025-08-21 11:14:25.985304,2025-08-21 11:17:14.19,,,2.38,,4,normal,3,1,4,usual,puzzle,carpet,,{7},not_selected
20,мат,МАТ-2000x1030x24-ЧЕРТ-ШИП5-3ст стар п-1СОРТ,2,,6,,,"{""width"": 1030, ""length"": 2000, ""thickness"": 24}",,,,,0,,,t,2025-08-21 11:22:14.698543,2025-08-21 11:23:17.589,,,2.06,,1,normal,3,1,1,usual,puzzle,carpet,,{6},not_selected
22,мат,МАТ-1930x1190x24-ЧЕШУЙ-ШИП5-усил-2ст стар п-1СОРТ,2,,7,,,"{""width"": 1190, ""length"": 1930, ""thickness"": 24}",,,,,0,,,t,2025-08-21 11:29:02.633282,2025-08-21 11:29:02.633282,,,2.2967,,2,reinforced,3,1,2,usual,puzzle,carpet,,{7},not_selected
23,мат,МАТ-1500x1150x24-ЧЕШУЙ-ШИП5-усил-2ст стар п-1СОРТ,2,,7,,,"{""width"": 1150, ""length"": 1500, ""thickness"": 24}",,,,,0,,,t,2025-08-21 11:34:31.020264,2025-08-21 11:34:31.020264,,,1.725,,2,reinforced,3,1,2,usual,puzzle,carpet,,{7},not_selected
24,мат,МАТ-1960x1190x24-ЧЕРТ-ШИП5-2ст стар п-1СОРТ,2,,6,,,"{""width"": 1190, ""length"": 1960, ""thickness"": 24}",,,,,0,,,t,2025-08-21 11:46:22.031417,2025-08-21 11:46:22.031417,,,2.3324,,2,normal,3,1,2,usual,puzzle,carpet,,{6},not_selected
25,мат,МАТ-1750x1150x24-ЧЕРТ-ШИП5-4ст стар п-1СОРТ,2,,6,,,"{""width"": 1150, ""length"": 1750, ""thickness"": 24}",,,,,0,,,t,2025-08-21 11:48:02.383409,2025-08-21 11:48:02.383409,,,2.0125,,4,normal,3,1,4,usual,puzzle,carpet,,{6},not_selected
26,ЛЕЖ,ЛЕЖ-1800x1170x30-ЧЕШУЙ-ШИП11-2ст стар п-2СОРТ,3,,7,,,"{""width"": 1170, ""length"": 1800, ""thickness"": 30}",,,,,0,,,t,2025-08-21 11:57:05.664819,2025-08-21 11:59:13.837,,,2.106,,2,reinforced,5,1,2,usual,puzzle,carpet,,{7},not_selected
27,ЛЕЖ,ЛЕЖ-1800x1200x30-ЧЕШУЙ-ШИП11-1СОРТ,3,,7,,,"{""width"": 1200, ""length"": 1800, ""thickness"": 30}",,,,,0,,,t,2025-08-21 12:01:15.01923,2025-08-21 12:01:15.01923,,,2.16,,1,reinforced,5,,1,usual,straight_cut,carpet,,{7},not_selected
28,ЛЕЖ,ЛЕЖ-1800x1185x30-ЧЕШУЙ-ШИП11-Прям рез-1СОРТ,3,,7,,,"{""width"": 1185, ""length"": 1800, ""thickness"": 30}",,,,,0,,,t,2025-08-21 12:04:01.442775,2025-08-21 12:04:01.442775,,,2.133,,1,reinforced,5,,1,usual,straight_cut,carpet,,{7},not_selected
29,ЛЕЖ,ЛЕЖ-1800x1200x30-ЧЕРТ-ШИП11-2СОРТ,3,,6,,,"{""width"": 1200, ""length"": 1800, ""thickness"": 30}",,,,,0,,,t,2025-08-21 12:06:31.995197,2025-08-21 12:06:31.995197,,,2.16,,1,reinforced,5,,1,grade_2,straight_cut,carpet,,{6},not_selected
30,ЛЕЖ,ЛЕЖ-1800x1200x30-ЧЕРТ-ШИП11-1СОРТ,3,,6,,,"{""width"": 1200, ""length"": 1800, ""thickness"": 30}",,,,,0,,,t,2025-08-21 12:24:29.064153,2025-08-21 12:24:29.064153,,,2.16,,1,reinforced,5,,1,usual,straight_cut,carpet,,{6},not_selected
10,мат,МАТ-2050x1200x24-ЧЕШУЙ-АГРОТ-ШИП5-Подпазл-1СОРТ,2,,11,7,,"{""width"": 1200, ""length"": 2050, ""thickness"": 24}",,,,,0,,,t,2025-08-21 10:25:54.975924,2025-08-27 12:17:11.782,,,2.4926,,1,normal,3,,1,usual,straight_cut,carpet,,{11},not_selected
11,мат,МАТ-2050x1200x24-ЧЕШУЙ-ШИП5-Усил-Подпазл-1СОРТ,2,,7,,,"{""width"": 1200, ""length"": 2050, ""thickness"": 24}",,,,,0,,,t,2025-08-21 10:30:10.603543,2025-08-27 12:18:21.699,,,2.4926,,1,reinforced,3,,1,usual,podpuzzle,carpet,,{7},not_selected
12,мат,МАТ-2050x1200x24-ЧЕШУЙ-ШИП5-1СОРТ,2,,7,,,"{""width"": 1200, ""length"": 2050, ""thickness"": 24}",,,,,0,,,t,2025-08-21 10:32:47.29075,2025-08-27 12:19:27.013,,,2.4926,,1,normal,3,,1,usual,straight_cut,carpet,,{7},not_selected
13,мат,МАТ-1750x1200x24-ЧЕРТ-ШИП5-1СОРТ,2,,6,,,"{""width"": 1200, ""length"": 1750, ""thickness"": 24}",,,,,0,,,t,2025-08-21 10:34:23.456202,2025-08-27 12:20:41.615,,,2.1538,,1,normal,3,,1,usual,straight_cut,carpet,,{6},not_selected
