id,product_id,current_stock,reserved_stock,updated_at
2,2,1473,0,2025-08-20 11:14:05.292
1,1,1850,0,2025-08-20 11:16:55.038
3,3,50,0,2025-08-20 11:20:21.78
4,4,103,0,2025-08-20 11:23:11.188
5,5,74,0,2025-08-20 11:37:59.465
6,6,36,0,2025-08-21 06:06:56.402
7,7,0,0,2025-08-21 06:35:57.766
8,8,25,0,2025-08-21 06:46:19.307
9,9,195,0,2025-08-21 07:21:45.416
10,10,25,0,2025-08-21 10:25:54.981
11,11,512,0,2025-08-21 10:30:10.608
13,13,133,0,2025-08-21 10:34:23.46
14,14,22,0,2025-08-21 10:37:17.116
15,15,55,0,2025-08-21 10:38:39.587
16,16,16,0,2025-08-21 10:40:33.781
18,18,283,0,2025-08-21 11:16:21.598
19,19,21,0,2025-08-21 11:19:22.145
20,20,14,0,2025-08-21 11:22:14.704
21,21,15,0,2025-08-21 11:25:53.629
22,22,342,0,2025-08-21 11:29:02.638
23,23,276,0,2025-08-21 11:34:31.026
24,24,36,0,2025-08-21 11:46:22.035
25,25,31,0,2025-08-21 11:48:02.387
26,26,34,0,2025-08-21 11:57:05.669
27,27,34,0,2025-08-21 12:01:15.022
28,28,50,0,2025-08-21 12:04:01.446
29,29,90,0,2025-08-21 12:06:31.998
30,30,156,0,2025-08-21 12:24:29.07
31,31,251,0,2025-08-21 12:25:55.044
32,32,25,0,2025-08-21 12:27:45.876
34,34,16,0,2025-08-21 12:31:42.21
35,35,22,0,2025-08-21 12:33:33.759
36,36,20,0,2025-08-21 12:35:04.581
37,37,26,0,2025-08-21 12:36:23.073
38,38,7,0,2025-08-21 12:37:33.759
39,39,6,0,2025-08-21 12:38:51.755
33,33,193,0,2025-08-21 12:41:13.969
40,40,24,0,2025-08-22 06:21:37.648
41,41,11,0,2025-08-22 06:22:59.421
42,42,20,0,2025-08-22 06:24:24.696
43,43,817,0,2025-08-22 06:29:59.948
44,44,943,0,2025-08-22 06:34:05.036
45,45,707,0,2025-08-22 06:35:45.96
47,47,69,0,2025-08-22 06:38:14.467
48,48,178,0,2025-08-22 06:39:48.024
49,49,36,0,2025-08-22 06:41:02.492
50,50,41,0,2025-08-22 07:09:29.299
51,51,34,0,2025-08-22 07:11:03.345
52,52,90,0,2025-08-22 07:12:23.725
53,53,263,0,2025-08-22 07:13:53.997
54,54,19,0,2025-08-22 07:15:37.404
55,55,24,0,2025-08-22 07:17:31.877
56,56,49,0,2025-08-22 07:27:41.886
57,57,89,0,2025-08-22 07:29:09.216
58,58,88,0,2025-08-22 07:32:07.991
59,59,54,0,2025-08-22 07:33:42.088
60,60,29,0,2025-08-22 07:44:24.653
61,61,16,0,2025-08-22 07:46:20.886
62,62,124,0,2025-08-22 07:48:18.457
63,63,31,0,2025-08-22 07:55:51.155
64,64,78,0,2025-08-22 07:57:13.617
65,65,76,0,2025-08-22 07:58:11.622
66,66,9,0,2025-08-22 07:59:09.461
67,67,11,0,2025-08-22 08:42:50.741
68,68,82,0,2025-08-22 08:44:40.143
69,69,32,0,2025-08-22 08:46:05.329
70,70,297,0,2025-08-22 08:47:50.321
71,71,180,0,2025-08-22 08:49:11.374
72,72,60,0,2025-08-22 08:52:00.643
73,73,873,0,2025-08-22 10:43:52.128
74,74,914,0,2025-08-22 10:47:09.805
75,75,891,0,2025-08-22 10:49:13.919
76,76,9701,0,2025-08-22 11:01:13.698
77,77,3510,0,2025-08-22 11:08:59.336
78,78,2276,0,2025-08-22 11:21:38.322
79,79,2668,0,2025-08-22 11:23:29.473
80,80,120,0,2025-08-22 11:27:36.104
81,81,1025,0,2025-08-22 11:30:22.96
82,82,201,0,2025-08-22 12:00:29.798
83,83,28,0,2025-08-22 12:02:47.18
84,84,695,0,2025-08-22 12:04:16.707
85,85,19,0,2025-08-22 12:05:32.922
86,86,980,0,2025-08-22 12:06:41.204
87,87,31,0,2025-08-22 12:08:13.662
88,88,40,0,2025-08-22 12:10:05.245
89,89,4,0,2025-08-22 12:11:25.393
91,91,43,0,2025-08-22 12:14:38.148
92,92,27,0,2025-08-22 12:16:09.633
93,93,37,0,2025-08-22 12:17:44.303
94,94,13,0,2025-08-22 12:19:28.935
95,95,34,0,2025-08-22 12:22:02.562
96,96,203,0,2025-08-22 12:30:02.586
97,97,100,0,2025-08-22 12:35:03.59
98,98,327,0,2025-08-22 12:56:21.226
99,99,200,0,2025-08-22 13:02:28.978
100,100,92,0,2025-08-25 06:12:30.283
101,101,36,0,2025-08-25 06:39:58.341
102,102,208,0,2025-08-25 06:42:22.891
103,103,345,0,2025-08-25 06:45:47.58
104,104,64,0,2025-08-25 06:47:57.485
105,105,50,0,2025-08-25 06:50:11.17
106,106,50,0,2025-08-25 06:51:29.978
107,107,187,0,2025-08-25 06:53:14.183
108,108,50,0,2025-08-25 06:55:25.831
109,109,40,0,2025-08-25 07:04:15.57
110,110,140,0,2025-08-25 07:08:26.072
111,111,178,0,2025-08-25 07:14:15.636
112,112,456,0,2025-08-25 07:17:07.905
113,113,51,0,2025-08-25 07:19:01.821
115,115,77,0,2025-08-25 07:22:14.398
114,114,310,0,2025-08-25 07:30:49.217
90,90,66,50,2025-08-25 09:10:48.803
46,46,71,0,2025-08-27 13:00:57.799
17,17,497,0,2025-08-29 12:02:38.202
12,12,829,0,2025-08-29 12:08:35.061
116,116,0,0,2025-09-01 09:14:59.458
117,117,296,0,2025-09-02 06:59:41.329
118,118,1502,0,2025-09-02 07:02:55.261
119,119,1957,0,2025-09-02 07:04:22.77
120,120,1100,0,2025-09-02 07:31:07.88
121,121,704,0,2025-09-02 07:37:06.773
122,122,704,0,2025-09-02 07:40:41.841
123,123,51,0,2025-09-02 07:42:30.054
124,124,168,0,2025-09-02 07:46:33.887
125,125,0,0,2025-09-02 08:04:48.142
