id,article,name,старый_carpet_edge_type,created_at,updated_at
1,МАТ-1750x1200x24-ЧЕШУЙ-GEA-ШИП5-4ст нов лит п-усил-1СОРТ,мат,straight_cut,2025-08-20 11:09:40.599727,2025-08-21 07:07:56.579
2,МАТ-1750x1200x24-ЧЕШУЙ-ШИП5-4ст нов лит п-усил-1СОРТ,мат,straight_cut,2025-08-20 11:14:05.28692,2025-08-27 13:24:23.497
3,МАТ-1720x1160x24-ЧЕШУЙ-GEA-ШИП5-4ст стар п-1СОРТ,мат,straight_cut,2025-08-20 11:20:21.774894,2025-08-21 07:13:05.039
4,МАТ-1800x1190x24-ЧЕРТ-ШИП5-2ст нов п-1СОРТ,мат,straight_cut,2025-08-20 11:23:11.183334,2025-08-21 07:14:52.326
5,МАТ-1500x1190x24-ЧЕРТ-ШИП5-2ст стар п-1СОРТ,мат,straight_cut,2025-08-20 11:37:59.45963,2025-08-21 07:15:35.457
6,МАТ-1850x1100x24-ЧЕРТ-ШИП5-2ст стар п-1СОРТ,мат,straight_cut,2025-08-21 06:06:56.396499,2025-08-21 07:16:27.315
7,,Тест grade_2,straight_cut,2025-08-21 06:35:57.762535,2025-08-21 06:37:34.863
8,МАТ-1890x1160x24-ЧЕШУЙ-ШИП5-4ст стар п-2СОРТ,мат,straight_cut,2025-08-21 06:46:19.303814,2025-08-21 07:17:10.95
10,МАТ-2050x1200x24-ЧЕШУЙ-АГРОТ-ШИП5-Подпазл-1СОРТ,мат,straight_cut,2025-08-21 10:25:54.975924,2025-08-27 12:17:11.782
12,МАТ-2050x1200x24-ЧЕШУЙ-ШИП5-1СОРТ,мат,straight_cut,2025-08-21 10:32:47.29075,2025-08-27 12:19:27.013
13,МАТ-1750x1200x24-ЧЕРТ-ШИП5-1СОРТ,мат,straight_cut,2025-08-21 10:34:23.456202,2025-08-27 12:20:41.615
14,МАТ-1990x1200x24-ЧЕШУЙ-ШИП5-1СОРТ,мат,straight_cut,2025-08-21 10:37:17.112664,2025-08-27 12:24:36.229
15,МАТ-2050x1200x24-ЧЕРТ-ШИП5-1СОРТ,мат,straight_cut,2025-08-21 10:38:39.583889,2025-08-27 12:21:48.035
16,МАТ-1600x900x24-ЧЕШУЙ-ШИП5-1СОРТ,мат,straight_cut,2025-08-21 10:40:33.77827,2025-08-27 12:25:18.667
17,МАТ-2050x1200x24-ЧЕШУЙ-ШИП5-усил-1СОРТ,мат,straight_cut,2025-08-21 11:12:14.976236,2025-08-27 12:26:17.076
21,МАТ-1750x1200x24-ЧЕШУЙ-ШИП5-усил-1СОРТ,мат,straight_cut,2025-08-21 11:25:53.624947,2025-08-27 13:18:26.11
27,ЛЕЖ-1800x1200x30-ЧЕШУЙ-ШИП11-1СОРТ,ЛЕЖ,straight_cut,2025-08-21 12:01:15.01923,2025-08-21 12:01:15.01923
