                    conname                     | contype |        table_name         
------------------------------------------------+---------+---------------------------
 audit_log_pkey                                 | p       | audit_log
 bottom_types_code_key                          | u       | bottom_types
 bottom_types_pkey                              | p       | bottom_types
 cardinal_number_domain_check                   | c       | -
 carpet_edge_types_code_key                     | u       | carpet_edge_types
 carpet_edge_types_name_key                     | u       | carpet_edge_types
 carpet_edge_types_pkey                         | p       | carpet_edge_types
 categories_pkey                                | p       | categories
 check_no_self_reference                        | c       | roll_covering_composition
 check_pur_number_positive                      | c       | products
 check_quantity_positive                        | c       | roll_covering_composition
 check_sort_order_positive                      | c       | roll_covering_composition
 cutting_operations_pkey                        | p       | cutting_operations
 defect_products_pkey                           | p       | defect_products
 operation_reversals_pkey                       | p       | operation_reversals
 order_items_pkey                               | p       | order_items
 order_messages_pkey                            | p       | order_messages
 orders_order_number_unique                     | u       | orders
 orders_pkey                                    | p       | orders
 permissions_name_unique                        | u       | permissions
 permissions_pkey                               | p       | permissions
 pg_aggregate_fnoid_index                       | p       | pg_aggregate
 pg_am_name_index                               | u       | pg_am
 pg_am_oid_index                                | p       | pg_am
 pg_amop_fam_strat_index                        | u       | pg_amop
 pg_amop_oid_index                              | p       | pg_amop
 pg_amop_opr_fam_index                          | u       | pg_amop
 pg_amproc_fam_proc_index                       | u       | pg_amproc
 pg_amproc_oid_index                            | p       | pg_amproc
 pg_attrdef_adrelid_adnum_index                 | u       | pg_attrdef
 pg_attrdef_oid_index                           | p       | pg_attrdef
 pg_attribute_relid_attnam_index                | u       | pg_attribute
 pg_attribute_relid_attnum_index                | p       | pg_attribute
 pg_auth_members_member_role_index              | u       | pg_auth_members
 pg_auth_members_oid_index                      | p       | pg_auth_members
 pg_auth_members_role_member_index              | u       | pg_auth_members
 pg_authid_oid_index                            | p       | pg_authid
 pg_authid_rolname_index                        | u       | pg_authid
 pg_cast_oid_index                              | p       | pg_cast
 pg_cast_source_target_index                    | u       | pg_cast
 pg_class_oid_index                             | p       | pg_class
 pg_class_relname_nsp_index                     | u       | pg_class
 pg_collation_name_enc_nsp_index                | u       | pg_collation
 pg_collation_oid_index                         | p       | pg_collation
 pg_constraint_conrelid_contypid_conname_index  | u       | pg_constraint
 pg_constraint_oid_index                        | p       | pg_constraint
 pg_conversion_default_index                    | u       | pg_conversion
 pg_conversion_name_nsp_index                   | u       | pg_conversion
 pg_conversion_oid_index                        | p       | pg_conversion
 pg_database_datname_index                      | u       | pg_database
 pg_database_oid_index                          | p       | pg_database
 pg_db_role_setting_databaseid_rol_index        | p       | pg_db_role_setting
 pg_default_acl_oid_index                       | p       | pg_default_acl
 pg_default_acl_role_nsp_obj_index              | u       | pg_default_acl
 pg_description_o_c_o_index                     | p       | pg_description
 pg_enum_oid_index                              | p       | pg_enum
 pg_enum_typid_label_index                      | u       | pg_enum
 pg_enum_typid_sortorder_index                  | u       | pg_enum
 pg_event_trigger_evtname_index                 | u       | pg_event_trigger
 pg_event_trigger_oid_index                     | p       | pg_event_trigger
 pg_extension_name_index                        | u       | pg_extension
 pg_extension_oid_index                         | p       | pg_extension
 pg_foreign_data_wrapper_name_index             | u       | pg_foreign_data_wrapper
